Ngày,Lý do chi, Số tiền,Ghi chú,Điều kiện,Đầu tháng,,Số dư,"2,259,000"
2011-02-24,Đổ xăng,"40,000",,0,,,,
2011-02-25,Ăn sáng,"14,000",,0,,,,
2011-02-25,Ăn trưa,"13,000",,0,,,,
2011-02-25,Linh tinh,"13,000",Thuốc,0,,,,
2011-02-26,Ăn sáng,"10,000",,0,,,,
2011-02-26,Thay nhớt,"69,000",+ Bơm xe,0,,,,
2011-02-27,Ăn sáng,"8,000",,0,,,,
2011-02-27,Linh tinh,"100,000",Họp lớp,0,,,,
2011-02-27,Đổ xăng,"40,000",,0,,,,
2011-02-27,Linh tinh,"6,000",Đánh bài,0,,,,
2011-02-27,Linh tinh,"16,000",Thuốc,0,,,,
2011-02-28,Ăn sáng,"15,000",,0,,,,
2011-02-28,Ăn trưa,"15,000",,0,,,,
2011-03-01,Ăn sáng,"15,000",,0,,,,
2011-03-01,Ăn trưa,"13,000",,0,,,,
2011-03-01,Đổ xăng,"40,000",,0,,,,
2011-03-02,Ăn sáng,"15,000",,0,,,,
2011-03-02,Ăn trưa,"15,000",,0,,,,
2011-03-02,Gửi xe,"3,000",,0,,,,
2011-03-02,Linh tinh,"36,000",Nước uống,0,,,,
2011-03-03,Ăn sáng,"26,000",,0,,,,
2011-03-03,Ăn trưa,"13,000",,0,,,,
2011-03-04,Ăn sáng,"14,000",,0,,,,
2011-03-04,Ăn trưa,"15,000",,0,,,,
2011-03-05,Ăn sáng,"7,000",,0,,,,
2011-03-05,Đổ xăng,"40,000",,0,,,,
2011-03-05,Nhậu,"150,000",,0,,,,
2011-03-05,Linh tinh,"17,000",Trà sữa,0,,,,
2011-03-05,Cho,"2,000",Thu,0,,,,
2011-03-06,Ăn sáng,"10,000",,0,,,,
2011-03-07,Ăn sáng,"15,000",,0,,,,
2011-03-07,Linh tinh,"30,000",Vé số,0,,,,
2011-03-07,Ăn trưa,"13,000",,0,,,,
2011-03-07,Nhậu,"80,000",,0,,,,
2011-03-07,Rút tài khoản,"-700,000",,0,,,,
2011-03-08,Ăn sáng,"14,000",,0,,,,
2011-03-08,Linh tinh,"57,000",Khoai tây chiên cho trainee team,0,,,,
2011-03-08,Linh tinh,"28,000",Hoa lưu niệm cho Châu,0,,,,
2011-03-08,Ăn trưa,"15,000",,0,,,,
2011-03-08,Đổ xăng,"40,000",,0,,,,
2011-03-09,Ăn sáng,"14,000",,0,,,,
2011-03-09,Ăn trưa,"13,000",,0,,,,
2011-03-09,Linh tinh,"20,000",Bánh xèo,0,,,,
2011-03-10,Ăn sáng,"15,000",,0,,,,
2011-03-10,Ăn trưa,"13,000",,0,,,,
2011-03-10,Linh tinh,"5,000",Trái cây,0,,,,
2011-03-11,Ăn sáng,"14,000",,0,,,,
2011-03-11,Đổ xăng,"40,000",,0,,,,
2011-03-11,Ăn trưa,"13,000",,0,,,,
2011-03-12,Ăn sáng,"40,000",,0,,,,
2011-03-12,Linh tinh,"220,000",Internet,0,,,,
2011-03-12,Hớt tóc,"18,000",,0,,,,
2011-03-12,Linh tinh,"5,000",Nước suối,0,,,,
2011-03-12,Linh tinh,"1,000",Bù tiền thuốc cho ba,0,,,,
2011-03-12,Thu,"-1,000,000",Ba cho,0,,,,
2011-03-12,Rút tài khoản,"-2,500,000",,0,,,,
2011-03-12,Cho,"3,000,000",Chị Hai,0,,,,
2011-03-13,Linh tinh,"16,000",Nước ngọt,0,,,,
2011-03-13,Linh tinh,"10,000",Đá lạnh,0,,,,
2011-03-14,Ăn sáng,"28,000",,0,,,,
2011-03-14,Đổ xăng,"40,000",,0,,,,
2011-03-14,Ăn trưa,"13,000",,0,,,,
2011-03-14,Nhậu,"350,000",,0,,,,
2011-03-15,Ăn sáng,"7,000",,0,,,,
2011-03-15,Ăn trưa,"15,000",,0,,,,
2011-03-15,Nhậu,"100,000",,0,,,,
2011-03-15,Linh tinh,"10,000",Vé số,0,,,,
2011-03-16,Ăn sáng,"14,000",,0,,,,
2011-03-16,Đổ xăng,"20,000",,0,,,,
2011-03-16,Thu,"-100,000",Nhân cho,0,,,,
2011-03-16,Ăn trưa,"13,000",,0,,,,
2011-03-16,Mượn,"-500,000",Trang,0,,,,
2011-03-17,Ăn sáng,"10,000",,0,,,,
2011-03-17,Đổ xăng,"40,000",,0,,,,
2011-03-17,Ăn trưa,"15,000",,0,,,,
2011-03-18,Ăn sáng,"16,000",,0,,,,
2011-03-18,Ăn trưa,"13,000",,0,,,,
2011-03-18,Mượn,"-500,000",Tín,0,,,,
2011-03-18,Nhậu,"241,000",,0,,,,
2011-03-19,Đổ xăng,"40,000",,0,,,,
2011-03-19,Gửi xe,"3,000",Chùa Phổ Quang,0,,,,
2011-03-19,Linh tinh,"29,000",Kem,0,,,,
2011-03-19,Nhậu,"15,000",,0,,,,
2011-03-20,Đổ xăng,"40,000",,0,,,,
2011-03-20,Ăn sáng,"10,000",,0,,,,
2011-03-20,Linh tinh,"15,000",Cắt chìa khóa,0,,,,
2011-03-21,Ăn sáng,"14,000",,0,,,,
2011-03-21,Cho,"250,000",Ủng hộ Nhân,0,,,,
2011-03-21,Ăn trưa,"17,000",,0,,,,
2011-03-21,Đổ xăng,"40,000",,0,,,,
2011-03-22,Ăn sáng,"7,000",,0,,,,
2011-03-22,Ăn trưa,"13,000",,0,,,,
2011-03-23,Ăn sáng,"7,000",,0,,,,
2011-03-23,Linh tinh,"2,000",Bơm xe,0,,,,
2011-03-23,Ăn trưa,"13,000",,0,,,,
2011-03-23,Thất thoát,"39,000",,0,,,,
2011-03-24,Ăn sáng,"10,000",,0,,,,
2011-03-24,Đổ xăng,"40,000",,0,,,,
2011-03-24,Ăn trưa,"13,000",,0,,,,
2011-03-24,Linh tinh,"35,000",Nón bảo hiểm,0,,,,
2011-03-25,Ăn sáng,"14,000",,0,,,,
2011-03-25,Ăn trưa,"13,000",,0,,,,
2011-03-25,Mượn,"-500,000",Trang,0,,,,
2011-03-26,Linh tinh,"5,000",Cắt chìa khóa,0,,,,
2011-03-26,Đổ xăng,"20,000",,0,,,,
2011-03-26,Linh tinh,"15,000",Hủ tiếu,0,,,,
2011-03-26,Linh tinh,"6,000",Nhang muỗi,0,,,,
2011-03-27,Cà phê,"16,000",,0,,,,
2011-03-27,Đổ xăng,"40,000",,0,,,,
2011-03-28,Ăn sáng,"17,000",,0,,,,
2011-03-28,Ăn trưa,"13,000",,0,,,,
2011-03-29,Ăn sáng,"15,000",,0,,,,
2011-03-29,Ăn trưa,"13,000",,0,,,,
2011-03-29,Đổ xăng,"20,000",,0,,,,
2011-03-30,Ăn sáng,"16,000",,0,,,,
2011-03-30,Ăn trưa,"13,000",,0,,,,
2011-03-31,Ăn sáng,"17,000",,0,,,,
2011-03-31,Linh tinh,"20,000",Vé số,0,,,,
2011-03-31,Gửi xe,"1,000",,0,,,,
2011-03-31,Ăn trưa,"13,000",,0,,,,
2011-03-31,Đổ xăng,"40,000",,0,,,,
2011-04-01,Ăn sáng,"28,000",,0,,,,
2011-04-01,Linh tinh,"20,000",Hamburger,0,,,,
2011-04-01,Ăn trưa,"13,000",,0,,,,
2011-04-01,Linh tinh,"25,000",Thau,0,,,,
2011-04-01,Gửi xe,"3,000",,0,,,,
2011-04-02,Ăn sáng,"10,000",,0,,,,
2011-04-02,Linh tinh,"3,000",Báo,0,,,,
2011-04-02,Linh tinh,"3,000",Pin,0,,,,
2011-04-02,Thất thoát,"6,000",,0,,,,
2011-04-03,Gửi xe,"4,000",Nhà thiếu nhi Q2 + BV Từ Dũ,0,,,,
2011-04-03,Đổ xăng,"40,000",,0,,,,
2011-04-04,Ăn trưa,"13,000",,0,,,,
2011-04-04,Linh tinh,"10,000",Hamburger,0,,,,
2011-04-04,Gửi xe,"2,000",,0,,,,
2011-04-04,Thu,"-270,000",Má đưa,0,,,,
2011-04-05,Ăn sáng,"17,000",,0,,,,
2011-04-05,Ăn trưa,"13,000",,0,,,,
2011-04-05,Đổ xăng,"40,000",,0,,,,
2011-04-06,Ăn sáng,"15,000",,0,,,,
2011-04-06,Thu,"-190,000",Trúng số,0,,,,
2011-04-06,Linh tinh,"20,000",Vé số,0,,,,
2011-04-06,Ăn trưa,"13,000",,0,,,,
2011-04-07,Ăn sáng,"15,000",,0,,,,
2011-04-07,Ăn trưa,"13,000",,0,,,,
2011-04-07,Linh tinh,"5,000",Trái cây,0,,,,
2011-04-07,Rút tài khoản,"-1,700,000",,0,,,,
2011-04-07,Linh tinh,"44,500",Sữa,0,,,,
2011-04-07,Đổ xăng,"40,000",,0,,,,
2011-04-07,Linh tinh,"45,000",Hủ tiếu,0,,,,
2011-04-08,Ăn sáng,"17,000",,0,,,,
2011-04-08,Trả nợ,"500,000",Tín,0,,,,
2011-04-08,Ăn trưa,"13,000",,0,,,,
2011-04-08,Nhậu,"140,000",Sinh nhật các bạn Gameloft tháng 4,0,,,,
2011-04-09,Ăn sáng,"30,000",,0,,,,
2011-04-10,Ăn sáng,"12,000",,0,,,,
2011-04-10,Linh tinh,"80,500","Đồ dùng (Mì tôm, dầu gội, kem & bót đánh răng, bánh kẹo)",0,,,,
2011-04-10,Linh tinh,"205,500",Internet,0,,,,
2011-04-10,Gửi xe,"2,000",,0,,,,
2011-04-10,Thay nhớt,"72,000",,0,,,,
2011-04-10,Cho,"5,000",Ông thổi sáo trước siêu thị Co-op Mark,0,,,,
2011-04-11,Ăn sáng,"15,000",,0,,,,
2011-04-11,Đổ xăng,"40,000",,0,,,,
2011-04-11,Ăn trưa,"15,000",,0,,,,
2011-04-11,Thu,"-100,000",Quà sinh nhật các bạn ở Gameloft,0,,,,
2011-04-11,Thất thoát,"3,000",,0,,,,
2011-04-11,Cho mượn,"900,000",Nhân,0,,,,
2011-04-11,Linh tinh,"20,000","Bánh bao (Cho Trúc, Mỹ (đánh bóng bàn))",0,,,,
2011-04-11,Gửi xe,"5,000",Nhà thi đấu Phú Thọ + quán nhậu,0,,,,
2011-04-11,Nhậu,"100,000",+ cafe,0,,,,
2011-04-12,Thu tiền mượn,"-1,100,000","Phong (còn lại 700,000)",0,,,,
2011-04-13,Ăn sáng,"17,000",,0,,,,
2011-04-13,Ăn trưa,"13,000",,0,,,,
2011-04-13,Rút tài khoản,"-700,000",,0,,,,
2011-04-13,Trả nợ,"1,000,000",Trang,0,,,,
2011-04-13,Linh tinh,"100,000",Bị phạt chạy sai làn đường,0,,,,
2011-04-14,Ăn sáng,"10,000",,0,,,,
2011-04-14,Đổ xăng,"40,000",,0,,,,
2011-04-14,Ăn trưa,"15,000",,0,,,,
2011-04-15,Ăn sáng,"15,000",,0,,,,
2011-04-15,Ăn trưa,"15,000",,0,,,,
2011-04-15,Rút tài khoản,"-2,400,000",,0,,,,
2011-04-16,Cho mượn,"2,000,000",Chị Hai,0,,,,
2011-04-16,Cho,"100,000",Chị Hai (đưa lộn),0,,,,
2011-04-16,Linh tinh,"20,000",Hot Dog,0,,,,
2011-04-16,Linh tinh,"35,000",Bóng bàn,0,,,,
2011-04-16,Gửi xe,"2,000",,0,,,,
2011-04-16,Linh tinh,"32,000",Nước mía,0,,,,
2011-04-16,Đổ xăng,"40,000",,0,,,,
